"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	20	156266	12.8
	"Jefferson County, AL"	"01073"	54	656023	8.2
	"Madison County, AL"	"01089"	17	295655	5.7 (Unreliable)
	"Mobile County, AL"	"01097"	31	397959	7.8
	"Montgomery County, AL"	"01101"	13	223002	5.8 (Unreliable)
	"Morgan County, AL"	"01103"	12	113006	10.6 (Unreliable)
	"Tuscaloosa County, AL"	"01125"	10	171960	5.8 (Unreliable)
	"Anchorage Borough, AK"	"02020"	35	274484	12.8
	"Fairbanks North Star Borough, AK"	"02090"	11	89043	12.4 (Unreliable)
	"Kenai Peninsula Borough, AK"	"02122"	13	51404	25.3 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	11	70761	15.5 (Unreliable)
	"Apache County, AZ"	"04001"	10	68161	14.7 (Unreliable)
	"Cochise County, AZ"	"04003"	11	123234	8.9 (Unreliable)
	"Coconino County, AZ"	"04005"	10	125117	8.0 (Unreliable)
	"Maricopa County, AZ"	"04013"	418	3417860	12.2
	"Mohave County, AZ"	"04015"	18	180521	10.0 (Unreliable)
	"Navajo County, AZ"	"04017"	15	102774	14.6 (Unreliable)
	"Pima County, AZ"	"04019"	164	901342	18.2
	"Pinal County, AZ"	"04021"	27	219472	12.3
	"Yavapai County, AZ"	"04025"	48	187822	25.6
	"Benton County, AR"	"05007"	14	179010	7.8 (Unreliable)
	"Garland County, AR"	"05051"	10	91084	11.0 (Unreliable)
	"Pulaski County, AR"	"05119"	40	366608	10.9
	"Sebastian County, AR"	"05131"	15	118168	12.7 (Unreliable)
	"Washington County, AR"	"05143"	11	176837	6.2 (Unreliable)
	"Alameda County, CA"	"06001"	137	1445721	9.5
	"Butte County, CA"	"06007"	39	213065	18.3
	"Contra Costa County, CA"	"06013"	94	992424	9.5
	"El Dorado County, CA"	"06017"	22	171653	12.8
	"Fresno County, CA"	"06019"	93	861035	10.8
	"Humboldt County, CA"	"06023"	35	130702	26.8
	"Imperial County, CA"	"06025"	11	152259	7.2 (Unreliable)
	"Kern County, CA"	"06029"	91	736296	12.4
	"Kings County, CA"	"06031"	14	143601	9.7 (Unreliable)
	"Lake County, CA"	"06033"	10	63116	15.8 (Unreliable)
	"Los Angeles County, CA"	"06037"	666	9793263	6.8
	"Madera County, CA"	"06039"	11	137106	8.0 (Unreliable)
	"Marin County, CA"	"06041"	25	243769	10.3
	"Merced County, CA"	"06047"	14	237180	5.9 (Unreliable)
	"Monterey County, CA"	"06053"	48	408731	11.7
	"Nevada County, CA"	"06057"	10	96512	10.4 (Unreliable)
	"Orange County, CA"	"06059"	242	2941711	8.2
	"Placer County, CA"	"06061"	27	302841	8.9
	"Riverside County, CA"	"06065"	168	1856542	9.0
	"Sacramento County, CA"	"06067"	178	1348932	13.2
	"San Bernardino County, CA"	"06071"	76	1899065	4.0
	"San Diego County, CA"	"06073"	296	2930007	10.1
	"San Francisco County, CA"	"06075"	94	761325	12.3
	"San Joaquin County, CA"	"06077"	68	642898	10.6
	"San Luis Obispo County, CA"	"06079"	26	256842	10.1
	"San Mateo County, CA"	"06081"	53	690161	7.7
	"Santa Barbara County, CA"	"06083"	32	407284	7.9
	"Santa Clara County, CA"	"06085"	112	1663167	6.7
	"Santa Cruz County, CA"	"06087"	21	252356	8.3
	"Shasta County, CA"	"06089"	40	174867	22.9
	"Solano County, CA"	"06095"	31	409301	7.6
	"Sonoma County, CA"	"06097"	59	466809	12.6
	"Stanislaus County, CA"	"06099"	78	492613	15.8
	"Tulare County, CA"	"06107"	41	398226	10.3
	"Tuolumne County, CA"	"06109"	16	56602	28.3 (Unreliable)
	"Ventura County, CA"	"06111"	56	793994	7.1
	"Yolo County, CA"	"06113"	10	185237	5.4 (Unreliable)
	"Adams County, CO"	"08001"	48	384809	12.5
	"Arapahoe County, CO"	"08005"	71	518971	13.7
	"Boulder County, CO"	"08013"	32	279728	11.4
	"Denver County, CO"	"08031"	116	550756	21.1
	"El Paso County, CO"	"08041"	63	556667	11.3
	"Jefferson County, CO"	"08059"	49	520900	9.4
	"Larimer County, CO"	"08069"	34	271510	12.5
	"Mesa County, CO"	"08077"	12	127678	9.4 (Unreliable)
	"Pueblo County, CO"	"08101"	16	148654	10.8 (Unreliable)
	"Weld County, CO"	"08123"	11	215322	5.1 (Unreliable)
	"Fairfield County, CT"	"09001"	61	897472	6.8
	"Hartford County, CT"	"09003"	78	874449	8.9
	"Litchfield County, CT"	"09005"	20	188601	10.6
	"Middlesex County, CT"	"09007"	18	161450	11.1 (Unreliable)
	"New Haven County, CT"	"09009"	99	844505	11.7
	"New London County, CT"	"09011"	34	268595	12.7
	"Tolland County, CT"	"09013"	11	146706	7.5 (Unreliable)
	"Windham County, CT"	"09015"	12	114316	10.5 (Unreliable)
	"New Castle County, DE"	"10003"	45	518944	8.7
	"Sussex County, DE"	"10005"	12	172517	7.0 (Unreliable)
	"District of Columbia, DC"	"11001"	87	567754	15.3
	"Alachua County, FL"	"12001"	21	229867	9.1
	"Bay County, FL"	"12005"	27	158804	17.0
	"Brevard County, FL"	"12009"	114	518722	22.0
	"Broward County, FL"	"12011"	272	1725461	15.8
	"Charlotte County, FL"	"12015"	19	157755	12.0 (Unreliable)
	"Citrus County, FL"	"12017"	16	129840	12.3 (Unreliable)
	"Clay County, FL"	"12019"	25	163238	15.3
	"Collier County, FL"	"12021"	35	296021	11.8
	"Duval County, FL"	"12031"	111	820070	13.5
	"Escambia County, FL"	"12033"	40	298225	13.4
	"Hernando County, FL"	"12053"	18	149593	12.0 (Unreliable)
	"Highlands County, FL"	"12055"	14	93079	15.0 (Unreliable)
	"Hillsborough County, FL"	"12057"	146	1108225	13.2
	"Indian River County, FL"	"12061"	11	125001	8.8 (Unreliable)
	"Lake County, FL"	"12069"	15	254625	5.9 (Unreliable)
	"Lee County, FL"	"12071"	98	522431	18.8
	"Leon County, FL"	"12073"	11	254188	4.3 (Unreliable)
	"Manatee County, FL"	"12081"	52	296183	17.6
	"Marion County, FL"	"12083"	24	291164	8.2
	"Martin County, FL"	"12085"	19	139729	13.6 (Unreliable)
	"Miami-Dade County, FL"	"12086"	123	2358684	5.2
	"Monroe County, FL"	"12087"	22	77616	28.3
	"Nassau County, FL"	"12089"	13	63699	20.4 (Unreliable)
	"Okaloosa County, FL"	"12091"	26	182506	14.2
	"Orange County, FL"	"12095"	99	1011681	9.8
