"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	16	147957	10.8 (Unreliable)
	"Jefferson County, AL"	"01073"	47	657518	7.1
	"Mobile County, AL"	"01097"	33	398549	8.3
	"Anchorage Borough, AK"	"02020"	41	268229	15.3
	"Fairbanks North Star Borough, AK"	"02090"	11	86095	12.8 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	16	64353	24.9 (Unreliable)
	"Coconino County, AZ"	"04005"	10	121308	8.2 (Unreliable)
	"Maricopa County, AZ"	"04013"	341	3255388	10.5
	"Mohave County, AZ"	"04015"	16	166155	9.6 (Unreliable)
	"Navajo County, AZ"	"04017"	14	100123	14.0 (Unreliable)
	"Pima County, AZ"	"04019"	161	874267	18.4
	"Pinal County, AZ"	"04021"	22	197082	11.2
	"Yavapai County, AZ"	"04025"	26	177362	14.7
	"Benton County, AR"	"05007"	10	164926	6.1 (Unreliable)
	"Pulaski County, AR"	"05119"	35	364327	9.6
	"Sebastian County, AR"	"05131"	14	117200	11.9 (Unreliable)
	"Washington County, AR"	"05143"	10	166859	6.0 (Unreliable)
	"Alameda County, CA"	"06001"	128	1462106	8.8
	"Butte County, CA"	"06007"	37	209120	17.7
	"Contra Costa County, CA"	"06013"	86	979862	8.8
	"El Dorado County, CA"	"06017"	23	165195	13.9
	"Fresno County, CA"	"06019"	70	829762	8.4
	"Humboldt County, CA"	"06023"	35	128780	27.2
	"Kern County, CA"	"06029"	81	694059	11.7
	"Lake County, CA"	"06033"	15	61513	24.4 (Unreliable)
	"Los Angeles County, CA"	"06037"	739	9705913	7.6
	"Marin County, CA"	"06041"	25	246225	10.2
	"Mendocino County, CA"	"06045"	17	87364	19.5 (Unreliable)
	"Monterey County, CA"	"06053"	34	408977	8.3
	"Napa County, CA"	"06055"	15	128744	11.7 (Unreliable)
	"Nevada County, CA"	"06057"	24	94647	25.4
	"Orange County, CA"	"06059"	219	2908245	7.5
	"Placer County, CA"	"06061"	14	276907	5.1 (Unreliable)
	"Riverside County, CA"	"06065"	137	1687147	8.1
	"Sacramento County, CA"	"06067"	144	1301079	11.1
	"San Bernardino County, CA"	"06071"	72	1799791	4.0
	"San Diego County, CA"	"06073"	277	2900355	9.6
	"San Francisco County, CA"	"06075"	102	772723	13.2
	"San Joaquin County, CA"	"06077"	62	609041	10.2
	"San Luis Obispo County, CA"	"06079"	26	253083	10.3
	"San Mateo County, CA"	"06081"	44	697628	6.3
	"Santa Barbara County, CA"	"06083"	49	405178	12.1
	"Santa Clara County, CA"	"06085"	80	1669348	4.8
	"Santa Cruz County, CA"	"06087"	19	254531	7.5 (Unreliable)
	"Shasta County, CA"	"06089"	37	170198	21.7
	"Solano County, CA"	"06095"	24	408226	5.9
	"Sonoma County, CA"	"06097"	60	465298	12.9
	"Stanislaus County, CA"	"06099"	70	477469	14.7
	"Tulare County, CA"	"06107"	26	379568	6.8
	"Ventura County, CA"	"06111"	70	779489	9.0
	"Yolo County, CA"	"06113"	16	180327	8.9 (Unreliable)
	"Adams County, CO"	"08001"	48	387339	12.4
	"Arapahoe County, CO"	"08005"	53	508936	10.4
	"Boulder County, CO"	"08013"	31	303035	10.2
	"Denver County, CO"	"08031"	102	556790	18.3
	"El Paso County, CO"	"08041"	60	544145	11.0
	"Jefferson County, CO"	"08059"	45	529486	8.5
	"Larimer County, CO"	"08069"	12	265372	4.5 (Unreliable)
	"Pueblo County, CO"	"08101"	18	146537	12.3 (Unreliable)
	"Fairfield County, CT"	"09001"	82	892900	9.2
	"Hartford County, CT"	"09003"	90	867451	10.4
	"Litchfield County, CT"	"09005"	13	185974	7.0 (Unreliable)
	"Middlesex County, CT"	"09007"	11	159187	6.9 (Unreliable)
	"New Haven County, CT"	"09009"	118	835099	14.1
	"New London County, CT"	"09011"	26	264698	9.8
	"New Castle County, DE"	"10003"	60	510158	11.8
	"Sussex County, DE"	"10005"	15	164187	9.1 (Unreliable)
	"District of Columbia, DC"	"11001"	61	573158	10.6
	"Alachua County, FL"	"12001"	14	224614	6.2 (Unreliable)
	"Bay County, FL"	"12005"	30	152741	19.6
	"Brevard County, FL"	"12009"	100	495425	20.2
	"Broward County, FL"	"12011"	241	1690118	14.3
	"Citrus County, FL"	"12017"	15	123491	12.1 (Unreliable)
	"Clay County, FL"	"12019"	23	150947	15.2
	"Collier County, FL"	"12021"	37	275490	13.4
	"Duval County, FL"	"12031"	113	800532	14.1
